id,bus_id,avg_speed_factor,reliability_score,fuel_efficiency_kmpl,days_since_last_service,breakdown_count_90d,total_trips_analyzed,total_km_traveled,last_calculated_at,calculation_window_days
00000000-0000-0000-0000-000001310001,00000000-0000-0000-0000-000000910001,0.958,0.94,5.98,8,0,43,3811.00,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001310002,00000000-0000-0000-0000-000000910002,0.967,0.92,5.76,13,0,56,4122.00,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001310003,00000000-0000-0000-0000-000000910003,0.977,0.89,6.34,18,0,69,4433.00,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001310004,00000000-0000-0000-0000-000000910004,0.986,0.87,6.52,23,0,82,4744.00,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001310005,00000000-0000-0000-0000-000000910005,0.996,0.85,6.70,28,0,95,5055.00,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001310006,00000000-0000-0000-0000-000000910006,0.982,0.83,6.88,33,1,108,5366.00,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001310007,00000000-0000-0000-0000-000000910007,0.991,0.80,6.66,38,1,121,5677.00,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001310008,00000000-0000-0000-0000-000000910008,1.001,0.86,7.24,43,0,134,5988.00,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001310009,00000000-0000-0000-0000-000000910009,1.010,0.84,7.42,48,1,147,6299.00,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001310010,00000000-0000-0000-0000-000000910010,1.020,0.82,7.60,53,1,160,6610.00,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001310011,00000000-0000-0000-0000-000000910011,1.030,0.79,7.78,58,1,173,6921.00,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001310012,00000000-0000-0000-0000-000000910012,1.015,0.77,7.56,63,1,186,7232.00,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001310013,00000000-0000-0000-0000-000000910013,1.025,0.75,8.14,68,1,199,7543.00,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001310014,00000000-0000-0000-0000-000000910014,1.034,0.73,8.32,73,2,212,7854.00,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001310015,00000000-0000-0000-0000-000000910015,1.044,0.70,8.50,3,2,225,8165.00,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001310016,00000000-0000-0000-0000-000000910016,1.054,0.76,8.68,8,1,238,8476.00,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001310017,00000000-0000-0000-0000-000000910017,1.063,0.74,8.46,13,2,41,8787.00,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001310018,00000000-0000-0000-0000-000000910018,1.049,0.72,5.80,18,2,54,9098.00,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001310019,00000000-0000-0000-0000-000000910019,1.058,0.69,5.98,23,2,67,9409.00,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001310020,00000000-0000-0000-0000-000000910020,1.068,0.67,6.16,28,2,80,9720.00,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001310021,00000000-0000-0000-0000-000000910021,1.078,0.65,6.34,33,2,93,10031.00,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001310022,00000000-0000-0000-0000-000000910022,0.967,0.89,6.12,38,0,106,10342.00,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001310023,00000000-0000-0000-0000-000000910023,0.977,0.87,6.70,43,0,119,10653.00,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001310024,00000000-0000-0000-0000-000000910024,0.962,0.93,6.88,48,0,132,10964.00,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001310025,00000000-0000-0000-0000-000000910025,0.972,0.91,7.06,53,0,145,11275.00,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001310026,00000000-0000-0000-0000-000000910026,0.982,0.88,7.24,58,0,158,11586.00,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001310027,00000000-0000-0000-0000-000000910027,0.991,0.86,7.02,63,0,171,11897.00,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001310028,00000000-0000-0000-0000-000000910028,1.001,0.84,7.60,68,1,184,12208.00,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001310029,00000000-0000-0000-0000-000000910029,1.010,0.82,7.78,73,1,197,12519.00,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001310030,00000000-0000-0000-0000-000000910030,0.996,0.79,7.96,3,1,210,12830.00,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001310031,00000000-0000-0000-0000-000000910031,1.006,0.77,8.14,8,1,223,13141.00,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001310032,00000000-0000-0000-0000-000000910032,1.015,0.83,7.92,13,1,236,13452.00,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001310033,00000000-0000-0000-0000-000000910033,1.025,0.81,8.50,18,1,39,13763.00,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001310034,00000000-0000-0000-0000-000000910034,1.034,0.78,8.68,23,1,52,14074.00,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001310035,00000000-0000-0000-0000-000000910035,1.044,0.76,8.86,28,1,65,14385.00,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001310036,00000000-0000-0000-0000-000000910036,1.030,0.74,5.80,33,2,78,14696.00,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001310037,00000000-0000-0000-0000-000000910037,1.039,0.72,5.58,38,2,91,15007.00,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001310038,00000000-0000-0000-0000-000000910038,1.049,0.69,6.16,43,2,104,15318.00,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001310039,00000000-0000-0000-0000-000000910039,1.058,0.67,6.34,48,2,117,15629.00,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001310040,00000000-0000-0000-0000-000000910040,1.068,0.73,6.52,53,2,130,15940.00,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001310041,00000000-0000-0000-0000-000000910041,1.078,0.71,6.70,58,2,143,16251.00,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001310042,00000000-0000-0000-0000-000000910042,1.063,0.68,6.48,63,2,156,16562.00,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001310043,00000000-0000-0000-0000-000000910043,0.953,0.93,7.06,68,0,169,16873.00,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001310044,00000000-0000-0000-0000-000000910044,0.962,0.91,7.24,73,0,182,17184.00,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001310045,00000000-0000-0000-0000-000000910045,0.972,0.88,7.42,3,0,195,17495.00,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001310046,00000000-0000-0000-0000-000000910046,0.982,0.86,7.60,8,0,208,17806.00,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001310047,00000000-0000-0000-0000-000000910047,0.991,0.84,7.38,13,1,221,18117.00,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001310048,00000000-0000-0000-0000-000000910048,0.977,0.90,7.96,18,0,234,18428.00,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001310049,00000000-0000-0000-0000-000000910049,0.986,0.87,8.14,23,0,37,18739.00,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001310050,00000000-0000-0000-0000-000000910050,0.996,0.85,8.32,28,0,50,19050.00,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001310051,00000000-0000-0000-0000-000000910051,1.006,0.83,8.50,33,1,63,19361.00,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001310052,00000000-0000-0000-0000-000000910052,1.015,0.81,8.28,38,1,76,19672.00,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001310053,00000000-0000-0000-0000-000000910053,1.025,0.78,8.86,43,1,89,19983.00,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001310054,00000000-0000-0000-0000-000000910054,1.010,0.76,5.80,48,1,102,20294.00,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001310055,00000000-0000-0000-0000-000000910055,1.020,0.74,5.98,53,2,115,20605.00,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001310056,00000000-0000-0000-0000-000000910056,1.030,0.80,6.16,58,1,128,20916.00,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001310057,00000000-0000-0000-0000-000000910057,1.039,0.77,5.94,63,1,141,21227.00,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001310058,00000000-0000-0000-0000-000000910058,1.049,0.75,6.52,68,1,154,21538.00,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001310059,00000000-0000-0000-0000-000000910059,1.058,0.73,6.70,73,2,167,21849.00,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001310060,00000000-0000-0000-0000-000000910060,1.044,0.71,6.88,3,2,180,22160.00,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001310061,00000000-0000-0000-0000-000000910061,1.054,0.68,7.06,8,2,193,22471.00,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001310062,00000000-0000-0000-0000-000000910062,1.063,0.66,6.84,13,2,206,22782.00,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001310063,00000000-0000-0000-0000-000000910063,1.073,0.64,7.42,18,2,219,23093.00,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001310064,00000000-0000-0000-0000-000000910064,1.082,0.70,7.60,23,2,232,23404.00,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001310065,00000000-0000-0000-0000-000000910065,0.972,0.94,7.78,28,0,35,23715.00,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001310066,00000000-0000-0000-0000-000000910066,0.958,0.92,7.96,33,0,48,24026.00,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001310067,00000000-0000-0000-0000-000000910067,0.967,0.90,7.74,38,0,61,24337.00,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001310068,00000000-0000-0000-0000-000000910068,0.977,0.88,8.32,43,0,74,24648.00,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001310069,00000000-0000-0000-0000-000000910069,0.986,0.85,8.50,48,0,87,24959.00,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001310070,00000000-0000-0000-0000-000000910070,0.996,0.83,8.68,53,1,100,25270.00,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001310071,00000000-0000-0000-0000-000000910071,1.006,0.81,8.86,58,1,113,25581.00,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001310072,00000000-0000-0000-0000-000000910072,0.991,0.86,5.40,63,0,126,25892.00,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001310073,00000000-0000-0000-0000-000000910073,1.001,0.84,5.98,68,1,139,26203.00,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001310074,00000000-0000-0000-0000-000000910074,1.010,0.82,6.16,73,1,152,26514.00,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001310075,00000000-0000-0000-0000-000000910075,1.020,0.80,6.34,3,1,165,26825.00,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001310076,00000000-0000-0000-0000-000000910076,1.030,0.77,6.52,8,1,178,27136.00,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001310077,00000000-0000-0000-0000-000000910077,1.039,0.75,6.30,13,1,191,27447.00,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001310078,00000000-0000-0000-0000-000000910078,1.025,0.73,6.88,18,2,204,27758.00,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001310079,00000000-0000-0000-0000-000000910079,1.034,0.71,7.06,23,2,217,28069.00,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001310080,00000000-0000-0000-0000-000000910080,1.044,0.76,7.24,28,1,230,28380.00,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001310081,00000000-0000-0000-0000-000000910081,1.054,0.74,7.42,33,2,33,28691.00,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001310082,00000000-0000-0000-0000-000000910082,1.063,0.72,7.20,38,2,46,29002.00,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001310083,00000000-0000-0000-0000-000000910083,1.073,0.70,7.78,43,2,59,29313.00,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001310084,00000000-0000-0000-0000-000000910084,1.058,0.67,7.96,48,2,72,29624.00,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001310085,00000000-0000-0000-0000-000000910085,1.068,0.65,8.14,53,2,85,29935.00,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001310086,00000000-0000-0000-0000-000000910086,0.958,0.90,8.32,58,0,98,30246.00,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001310087,00000000-0000-0000-0000-000000910087,0.967,0.88,8.10,63,0,111,30557.00,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001310088,00000000-0000-0000-0000-000000910088,0.977,0.93,8.68,68,0,124,30868.00,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001310089,00000000-0000-0000-0000-000000910089,0.986,0.91,8.86,73,0,137,31179.00,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001310090,00000000-0000-0000-0000-000000910090,0.972,0.89,5.80,3,0,150,31490.00,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001310091,00000000-0000-0000-0000-000000910091,0.982,0.87,5.98,8,0,163,31801.00,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001310092,00000000-0000-0000-0000-000000910092,0.991,0.84,5.76,13,1,176,32112.00,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001310093,00000000-0000-0000-0000-000000910093,1.001,0.82,6.34,18,1,189,32423.00,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001310094,00000000-0000-0000-0000-000000910094,1.010,0.80,6.52,23,1,202,32734.00,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001310095,00000000-0000-0000-0000-000000910095,1.020,0.77,6.70,28,1,215,33045.00,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001310096,00000000-0000-0000-0000-000000910096,1.006,0.83,6.88,33,1,228,33356.00,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001310097,00000000-0000-0000-0000-000000910097,1.015,0.81,6.66,38,1,31,33667.00,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001310098,00000000-0000-0000-0000-000000910098,1.025,0.79,7.24,43,1,44,33978.00,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001310099,00000000-0000-0000-0000-000000910099,1.034,0.76,7.42,48,1,57,34289.00,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001310100,00000000-0000-0000-0000-000000910100,1.044,0.74,7.60,53,2,70,34600.00,2026-05-04T02:00:00Z,90
