id,driver_id,avg_speed_factor,punctuality_score,consistency_score,total_trips_analyzed,total_segments_analyzed,primary_routes,last_calculated_at,calculation_window_days
00000000-0000-0000-0000-000001210001,00000000-0000-0000-0000-000000810001,1.072,0.54,0.66,36,180,{00000000-0000-0000-0000-000000001001},2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001210002,00000000-0000-0000-0000-000000810002,1.051,0.60,0.68,47,235,{00000000-0000-0000-0000-000000001002},2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001210003,00000000-0000-0000-0000-000000810003,1.030,0.67,0.71,58,290,{00000000-0000-0000-0000-000000001003},2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001210004,00000000-0000-0000-0000-000000810004,1.009,0.74,0.74,69,345,{00000000-0000-0000-0000-000000001004},2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001210005,00000000-0000-0000-0000-000000810005,0.988,0.78,0.76,80,400,{00000000-0000-0000-0000-000000001005},2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001210006,00000000-0000-0000-0000-000000810006,0.976,0.81,0.79,91,455,{00000000-0000-0000-0000-000000001001},2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001210007,00000000-0000-0000-0000-000000810007,0.940,0.82,0.81,102,510,{00000000-0000-0000-0000-000000001002},2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001210008,00000000-0000-0000-0000-000000810008,1.099,0.47,0.55,113,565,{00000000-0000-0000-0000-000000001003},2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001210009,00000000-0000-0000-0000-000000810009,1.078,0.53,0.67,124,620,{00000000-0000-0000-0000-000000001004},2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001210010,00000000-0000-0000-0000-000000810010,1.057,0.60,0.69,135,675,{00000000-0000-0000-0000-000000001005},2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001210011,00000000-0000-0000-0000-000000810011,1.036,0.66,0.72,146,730,{00000000-0000-0000-0000-000000001001},2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001210012,00000000-0000-0000-0000-000000810012,1.015,0.73,0.75,157,785,{00000000-0000-0000-0000-000000001002},2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001210013,00000000-0000-0000-0000-000000810013,0.994,0.78,0.77,168,840,{00000000-0000-0000-0000-000000001003},2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001210014,00000000-0000-0000-0000-000000810014,0.940,0.77,0.80,179,895,{00000000-0000-0000-0000-000000001004},2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001210015,00000000-0000-0000-0000-000000810015,0.946,0.83,0.82,190,950,{00000000-0000-0000-0000-000000001005},2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001210016,00000000-0000-0000-0000-000000810016,1.105,0.46,0.56,201,1005,{00000000-0000-0000-0000-000000001001},2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001210017,00000000-0000-0000-0000-000000810017,1.084,0.53,0.59,212,1060,{00000000-0000-0000-0000-000000001002},2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001210018,00000000-0000-0000-0000-000000810018,1.063,0.59,0.70,223,1115,{00000000-0000-0000-0000-000000001003},2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001210019,00000000-0000-0000-0000-000000810019,1.042,0.66,0.73,234,1170,{00000000-0000-0000-0000-000000001004},2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001210020,00000000-0000-0000-0000-000000810020,1.021,0.72,0.76,245,1225,{00000000-0000-0000-0000-000000001005},2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001210021,00000000-0000-0000-0000-000000810021,0.958,0.75,0.78,256,1280,{00000000-0000-0000-0000-000000001001},2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001210022,00000000-0000-0000-0000-000000810022,0.946,0.78,0.81,27,135,{00000000-0000-0000-0000-000000001002},2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001210023,00000000-0000-0000-0000-000000810023,0.952,0.83,0.83,38,190,{00000000-0000-0000-0000-000000001003},2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001210024,00000000-0000-0000-0000-000000810024,1.111,0.45,0.57,49,245,{00000000-0000-0000-0000-000000001004},2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001210025,00000000-0000-0000-0000-000000810025,1.090,0.52,0.60,60,300,{00000000-0000-0000-0000-000000001005},2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001210026,00000000-0000-0000-0000-000000810026,1.069,0.59,0.62,71,355,{00000000-0000-0000-0000-000000001001},2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001210027,00000000-0000-0000-0000-000000810027,1.048,0.65,0.74,82,410,{00000000-0000-0000-0000-000000001002},2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001210028,00000000-0000-0000-0000-000000810028,0.985,0.73,0.77,93,465,{00000000-0000-0000-0000-000000001003},2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001210029,00000000-0000-0000-0000-000000810029,0.964,0.75,0.79,104,520,{00000000-0000-0000-0000-000000001004},2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001210030,00000000-0000-0000-0000-000000810030,0.952,0.79,0.82,115,575,{00000000-0000-0000-0000-000000001005},2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001210031,00000000-0000-0000-0000-000000810031,0.958,0.84,0.84,126,630,{00000000-0000-0000-0000-000000001001},2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001210032,00000000-0000-0000-0000-000000810032,1.117,0.45,0.58,137,685,{00000000-0000-0000-0000-000000001002},2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001210033,00000000-0000-0000-0000-000000810033,1.096,0.51,0.61,148,740,{00000000-0000-0000-0000-000000001003},2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001210034,00000000-0000-0000-0000-000000810034,1.075,0.58,0.63,159,795,{00000000-0000-0000-0000-000000001004},2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001210035,00000000-0000-0000-0000-000000810035,1.012,0.69,0.66,170,850,{00000000-0000-0000-0000-000000001005},2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001210036,00000000-0000-0000-0000-000000810036,0.991,0.74,0.78,181,905,{00000000-0000-0000-0000-000000001001},2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001210037,00000000-0000-0000-0000-000000810037,0.970,0.76,0.80,192,960,{00000000-0000-0000-0000-000000001002},2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001210038,00000000-0000-0000-0000-000000810038,0.958,0.79,0.83,203,1015,{00000000-0000-0000-0000-000000001003},2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001210039,00000000-0000-0000-0000-000000810039,0.964,0.84,0.85,214,1070,{00000000-0000-0000-0000-000000001004},2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001210040,00000000-0000-0000-0000-000000810040,1.123,0.45,0.59,225,1125,{00000000-0000-0000-0000-000000001005},2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001210041,00000000-0000-0000-0000-000000810041,1.102,0.51,0.62,236,1180,{00000000-0000-0000-0000-000000001001},2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001210042,00000000-0000-0000-0000-000000810042,1.039,0.62,0.64,247,1235,{00000000-0000-0000-0000-000000001002},2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001210043,00000000-0000-0000-0000-000000810043,1.018,0.68,0.67,258,1290,{00000000-0000-0000-0000-000000001003},2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001210044,00000000-0000-0000-0000-000000810044,0.997,0.74,0.70,29,145,{00000000-0000-0000-0000-000000001004},2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001210045,00000000-0000-0000-0000-000000810045,0.976,0.77,0.81,40,200,{00000000-0000-0000-0000-000000001005},2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001210046,00000000-0000-0000-0000-000000810046,0.964,0.80,0.84,51,255,{00000000-0000-0000-0000-000000001001},2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001210047,00000000-0000-0000-0000-000000810047,0.970,0.85,0.86,62,310,{00000000-0000-0000-0000-000000001002},2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001210048,00000000-0000-0000-0000-000000810048,1.129,0.45,0.60,73,365,{00000000-0000-0000-0000-000000001003},2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001210049,00000000-0000-0000-0000-000000810049,1.066,0.54,0.63,84,420,{00000000-0000-0000-0000-000000001004},2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001210050,00000000-0000-0000-0000-000000810050,1.045,0.61,0.65,95,475,{00000000-0000-0000-0000-000000001005},2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001210051,00000000-0000-0000-0000-000000810051,1.024,0.68,0.68,106,530,{00000000-0000-0000-0000-000000001001},2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001210052,00000000-0000-0000-0000-000000810052,1.003,0.74,0.71,117,585,{00000000-0000-0000-0000-000000001002},2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001210053,00000000-0000-0000-0000-000000810053,0.982,0.77,0.73,128,640,{00000000-0000-0000-0000-000000001003},2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001210054,00000000-0000-0000-0000-000000810054,0.970,0.80,0.85,139,695,{00000000-0000-0000-0000-000000001004},2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001210055,00000000-0000-0000-0000-000000810055,0.976,0.86,0.87,150,750,{00000000-0000-0000-0000-000000001005},2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001210056,00000000-0000-0000-0000-000000810056,1.093,0.47,0.61,161,805,{00000000-0000-0000-0000-000000001001},2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001210057,00000000-0000-0000-0000-000000810057,1.072,0.54,0.64,172,860,{00000000-0000-0000-0000-000000001002},2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001210058,00000000-0000-0000-0000-000000810058,1.051,0.60,0.66,183,915,{00000000-0000-0000-0000-000000001003},2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001210059,00000000-0000-0000-0000-000000810059,1.030,0.67,0.69,194,970,{00000000-0000-0000-0000-000000001004},2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001210060,00000000-0000-0000-0000-000000810060,1.009,0.74,0.72,205,1025,{00000000-0000-0000-0000-000000001005},2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001210061,00000000-0000-0000-0000-000000810061,0.988,0.78,0.74,216,1080,{00000000-0000-0000-0000-000000001001},2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001210062,00000000-0000-0000-0000-000000810062,0.976,0.81,0.77,227,1135,{00000000-0000-0000-0000-000000001002},2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001210063,00000000-0000-0000-0000-000000810063,0.940,0.82,0.88,238,1190,{00000000-0000-0000-0000-000000001003},2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001210064,00000000-0000-0000-0000-000000810064,1.099,0.47,0.62,249,1245,{00000000-0000-0000-0000-000000001004},2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001210065,00000000-0000-0000-0000-000000810065,1.078,0.53,0.65,260,1300,{00000000-0000-0000-0000-000000001005},2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001210066,00000000-0000-0000-0000-000000810066,1.057,0.60,0.67,31,155,{00000000-0000-0000-0000-000000001001},2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001210067,00000000-0000-0000-0000-000000810067,1.036,0.66,0.70,42,210,{00000000-0000-0000-0000-000000001002},2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001210068,00000000-0000-0000-0000-000000810068,1.015,0.73,0.73,53,265,{00000000-0000-0000-0000-000000001003},2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001210069,00000000-0000-0000-0000-000000810069,0.994,0.78,0.75,64,320,{00000000-0000-0000-0000-000000001004},2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001210070,00000000-0000-0000-0000-000000810070,0.940,0.77,0.78,75,375,{00000000-0000-0000-0000-000000001005},2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001210071,00000000-0000-0000-0000-000000810071,0.946,0.83,0.80,86,430,{00000000-0000-0000-0000-000000001001},2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001210072,00000000-0000-0000-0000-000000810072,1.105,0.46,0.63,97,485,{00000000-0000-0000-0000-000000001002},2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001210073,00000000-0000-0000-0000-000000810073,1.084,0.53,0.66,108,540,{00000000-0000-0000-0000-000000001003},2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001210074,00000000-0000-0000-0000-000000810074,1.063,0.59,0.68,119,595,{00000000-0000-0000-0000-000000001004},2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001210075,00000000-0000-0000-0000-000000810075,1.042,0.66,0.71,130,650,{00000000-0000-0000-0000-000000001005},2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001210076,00000000-0000-0000-0000-000000810076,1.021,0.72,0.74,141,705,{00000000-0000-0000-0000-000000001001},2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001210077,00000000-0000-0000-0000-000000810077,0.958,0.75,0.76,152,760,{00000000-0000-0000-0000-000000001002},2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001210078,00000000-0000-0000-0000-000000810078,0.946,0.78,0.79,163,815,{00000000-0000-0000-0000-000000001003},2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001210079,00000000-0000-0000-0000-000000810079,0.952,0.83,0.81,174,870,{00000000-0000-0000-0000-000000001004},2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001210080,00000000-0000-0000-0000-000000810080,1.111,0.45,0.55,185,925,{00000000-0000-0000-0000-000000001005},2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001210081,00000000-0000-0000-0000-000000810081,1.090,0.52,0.67,196,980,{00000000-0000-0000-0000-000000001001},2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001210082,00000000-0000-0000-0000-000000810082,1.069,0.59,0.69,207,1035,{00000000-0000-0000-0000-000000001002},2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001210083,00000000-0000-0000-0000-000000810083,1.048,0.65,0.72,218,1090,{00000000-0000-0000-0000-000000001003},2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001210084,00000000-0000-0000-0000-000000810084,0.985,0.73,0.75,229,1145,{00000000-0000-0000-0000-000000001004},2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001210085,00000000-0000-0000-0000-000000810085,0.964,0.75,0.77,240,1200,{00000000-0000-0000-0000-000000001005},2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001210086,00000000-0000-0000-0000-000000810086,0.952,0.79,0.80,251,1255,{00000000-0000-0000-0000-000000001001},2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001210087,00000000-0000-0000-0000-000000810087,0.958,0.84,0.82,262,1310,{00000000-0000-0000-0000-000000001002},2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001210088,00000000-0000-0000-0000-000000810088,1.117,0.45,0.56,33,165,{00000000-0000-0000-0000-000000001003},2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001210089,00000000-0000-0000-0000-000000810089,1.096,0.51,0.59,44,220,{00000000-0000-0000-0000-000000001004},2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001210090,00000000-0000-0000-0000-000000810090,1.075,0.58,0.70,55,275,{00000000-0000-0000-0000-000000001005},2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001210091,00000000-0000-0000-0000-000000810091,1.012,0.69,0.73,66,330,{00000000-0000-0000-0000-000000001001},2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001210092,00000000-0000-0000-0000-000000810092,0.991,0.74,0.76,77,385,{00000000-0000-0000-0000-000000001002},2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001210093,00000000-0000-0000-0000-000000810093,0.970,0.76,0.78,88,440,{00000000-0000-0000-0000-000000001003},2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001210094,00000000-0000-0000-0000-000000810094,0.958,0.79,0.81,99,495,{00000000-0000-0000-0000-000000001004},2026-05-04T02:00:00Z,90
