id,lounge_id,master_route_id,average_dwell_time_minutes,min_dwell_time_minutes,max_dwell_time_minutes,peak_hour_dwell_time_minutes,off_peak_dwell_time_minutes,average_bookings_per_trip,total_stops_recorded,last_calculated_at,data_points_count,created_at,updated_at
00000000-0000-0000-0000-000001410001,00000000-0000-0000-0000-000000410105,00000000-0000-0000-0000-000000001001,8.65,3.15,19.65,12.85,6.05,5,27,2026-05-04T02:00:00Z,27,2026-01-01T00:00:00Z,2026-05-04T02:00:00Z
00000000-0000-0000-0000-000001410002,00000000-0000-0000-0000-000000410210,00000000-0000-0000-0000-000000001002,12.80,7.30,24.80,17.00,10.20,8,34,2026-05-04T02:00:00Z,34,2026-01-01T00:00:00Z,2026-05-04T02:00:00Z
00000000-0000-0000-0000-000001410003,00000000-0000-0000-0000-000000410315,00000000-0000-0000-0000-000000001003,13.95,8.45,26.95,18.15,11.35,11,41,2026-05-04T02:00:00Z,41,2026-01-01T00:00:00Z,2026-05-04T02:00:00Z
00000000-0000-0000-0000-000001410004,00000000-0000-0000-0000-000000410404,00000000-0000-0000-0000-000000001004,12.10,6.60,26.10,16.30,9.50,14,48,2026-05-04T02:00:00Z,48,2026-01-01T00:00:00Z,2026-05-04T02:00:00Z
00000000-0000-0000-0000-000001410005,00000000-0000-0000-0000-000000410508,00000000-0000-0000-0000-000000001005,13.25,7.75,28.25,17.45,10.65,17,55,2026-05-04T02:00:00Z,55,2026-01-01T00:00:00Z,2026-05-04T02:00:00Z
00000000-0000-0000-0000-000001410006,00000000-0000-0000-0000-000000410112,00000000-0000-0000-0000-000000001001,14.40,8.90,24.40,18.60,11.80,2,62,2026-05-04T02:00:00Z,62,2026-01-01T00:00:00Z,2026-05-04T02:00:00Z
00000000-0000-0000-0000-000001410007,00000000-0000-0000-0000-000000410216,00000000-0000-0000-0000-000000001002,15.55,10.05,26.55,19.75,12.95,5,69,2026-05-04T02:00:00Z,69,2026-01-01T00:00:00Z,2026-05-04T02:00:00Z
00000000-0000-0000-0000-000001410008,00000000-0000-0000-0000-000000410318,00000000-0000-0000-0000-000000001003,16.70,11.20,28.70,20.90,14.10,8,76,2026-05-04T02:00:00Z,76,2026-01-01T00:00:00Z,2026-05-04T02:00:00Z
00000000-0000-0000-0000-000001410009,00000000-0000-0000-0000-000000410405,00000000-0000-0000-0000-000000001004,7.50,3.00,20.50,11.70,4.90,11,83,2026-05-04T02:00:00Z,83,2026-01-01T00:00:00Z,2026-05-04T02:00:00Z
00000000-0000-0000-0000-000001410010,00000000-0000-0000-0000-000000410510,00000000-0000-0000-0000-000000001005,11.65,6.15,25.65,15.85,9.05,14,90,2026-05-04T02:00:00Z,90,2026-01-01T00:00:00Z,2026-05-04T02:00:00Z
00000000-0000-0000-0000-000001410011,00000000-0000-0000-0000-000000410115,00000000-0000-0000-0000-000000001001,12.80,7.30,27.80,17.00,10.20,17,97,2026-05-04T02:00:00Z,97,2026-01-01T00:00:00Z,2026-05-04T02:00:00Z
00000000-0000-0000-0000-000001410012,00000000-0000-0000-0000-000000410204,00000000-0000-0000-0000-000000001002,10.95,5.45,20.95,15.15,8.35,2,104,2026-05-04T02:00:00Z,104,2026-01-01T00:00:00Z,2026-05-04T02:00:00Z
00000000-0000-0000-0000-000001410013,00000000-0000-0000-0000-000000410308,00000000-0000-0000-0000-000000001003,12.10,6.60,23.10,16.30,9.50,5,111,2026-05-04T02:00:00Z,111,2026-01-01T00:00:00Z,2026-05-04T02:00:00Z
00000000-0000-0000-0000-000001410014,00000000-0000-0000-0000-000000410412,00000000-0000-0000-0000-000000001004,13.25,7.75,25.25,17.45,10.65,8,118,2026-05-04T02:00:00Z,118,2026-01-01T00:00:00Z,2026-05-04T02:00:00Z
00000000-0000-0000-0000-000001410015,00000000-0000-0000-0000-000000410516,00000000-0000-0000-0000-000000001005,14.40,8.90,27.40,18.60,11.80,11,125,2026-05-04T02:00:00Z,125,2026-01-01T00:00:00Z,2026-05-04T02:00:00Z
00000000-0000-0000-0000-000001410016,00000000-0000-0000-0000-000000410118,00000000-0000-0000-0000-000000001001,15.55,10.05,29.55,19.75,12.95,14,132,2026-05-04T02:00:00Z,132,2026-01-01T00:00:00Z,2026-05-04T02:00:00Z
00000000-0000-0000-0000-000001410017,00000000-0000-0000-0000-000000410205,00000000-0000-0000-0000-000000001002,16.70,11.20,31.70,20.90,14.10,17,139,2026-05-04T02:00:00Z,139,2026-01-01T00:00:00Z,2026-05-04T02:00:00Z
00000000-0000-0000-0000-000001410018,00000000-0000-0000-0000-000000410310,00000000-0000-0000-0000-000000001003,10.50,5.00,20.50,14.70,7.90,2,146,2026-05-04T02:00:00Z,146,2026-01-01T00:00:00Z,2026-05-04T02:00:00Z
00000000-0000-0000-0000-000001410019,00000000-0000-0000-0000-000000410415,00000000-0000-0000-0000-000000001004,11.65,6.15,22.65,15.85,9.05,5,153,2026-05-04T02:00:00Z,153,2026-01-01T00:00:00Z,2026-05-04T02:00:00Z
00000000-0000-0000-0000-000001410020,00000000-0000-0000-0000-000000410504,00000000-0000-0000-0000-000000001005,9.80,4.30,21.80,14.00,7.20,8,160,2026-05-04T02:00:00Z,160,2026-01-01T00:00:00Z,2026-05-04T02:00:00Z
00000000-0000-0000-0000-000001410021,00000000-0000-0000-0000-000000410108,00000000-0000-0000-0000-000000001001,10.95,5.45,23.95,15.15,8.35,11,167,2026-05-04T02:00:00Z,167,2026-01-01T00:00:00Z,2026-05-04T02:00:00Z
00000000-0000-0000-0000-000001410022,00000000-0000-0000-0000-000000410212,00000000-0000-0000-0000-000000001002,12.10,6.60,26.10,16.30,9.50,14,174,2026-05-04T02:00:00Z,174,2026-01-01T00:00:00Z,2026-05-04T02:00:00Z
00000000-0000-0000-0000-000001410023,00000000-0000-0000-0000-000000410316,00000000-0000-0000-0000-000000001003,13.25,7.75,28.25,17.45,10.65,17,181,2026-05-04T02:00:00Z,181,2026-01-01T00:00:00Z,2026-05-04T02:00:00Z
00000000-0000-0000-0000-000001410024,00000000-0000-0000-0000-000000410418,00000000-0000-0000-0000-000000001004,14.40,8.90,24.40,18.60,11.80,2,188,2026-05-04T02:00:00Z,188,2026-01-01T00:00:00Z,2026-05-04T02:00:00Z
00000000-0000-0000-0000-000001410025,00000000-0000-0000-0000-000000410505,00000000-0000-0000-0000-000000001005,15.55,10.05,26.55,19.75,12.95,5,195,2026-05-04T02:00:00Z,195,2026-01-01T00:00:00Z,2026-05-04T02:00:00Z
00000000-0000-0000-0000-000001410026,00000000-0000-0000-0000-000000410110,00000000-0000-0000-0000-000000001001,19.70,14.20,31.70,23.90,17.10,8,202,2026-05-04T02:00:00Z,202,2026-01-01T00:00:00Z,2026-05-04T02:00:00Z
00000000-0000-0000-0000-000001410027,00000000-0000-0000-0000-000000410215,00000000-0000-0000-0000-000000001002,10.50,5.00,23.50,14.70,7.90,11,209,2026-05-04T02:00:00Z,209,2026-01-01T00:00:00Z,2026-05-04T02:00:00Z
00000000-0000-0000-0000-000001410028,00000000-0000-0000-0000-000000410304,00000000-0000-0000-0000-000000001003,8.65,3.15,22.65,12.85,6.05,14,216,2026-05-04T02:00:00Z,216,2026-01-01T00:00:00Z,2026-05-04T02:00:00Z
00000000-0000-0000-0000-000001410029,00000000-0000-0000-0000-000000410408,00000000-0000-0000-0000-000000001004,9.80,4.30,24.80,14.00,7.20,17,223,2026-05-04T02:00:00Z,223,2026-01-01T00:00:00Z,2026-05-04T02:00:00Z
