id,master_route_id,start_point_type,start_point_id,end_point_type,end_point_id,segment_order,start_latitude,start_longitude,end_latitude,end_longitude,distance_km,baseline_duration_minutes,baseline_speed_kmh,road_type,traffic_sensitivity_factor,elevation_change_meters,encoded_polyline_segment,created_at,updated_at
00000000-0000-0000-0000-000000310101,00000000-0000-0000-0000-000000001001,origin,00000000-0000-0000-0000-000000110001,stop,00000000-0000-0000-0000-000000210101,1,6.9373246,79.8560877,6.9602374,79.8923438,5.452,8,40.00,mixed,1.15,34,poly_r01_s01,2026-01-01T00:00:00Z,2026-05-03T00:00:00Z
00000000-0000-0000-0000-000000310102,00000000-0000-0000-0000-000000001001,stop,00000000-0000-0000-0000-000000210101,stop,00000000-0000-0000-0000-000000210102,2,6.9602374,79.8923438,6.9751211,79.9326145,5.800,7,51.00,rural,0.95,43,poly_r01_s02,2026-01-01T00:00:00Z,2026-05-03T00:00:00Z
00000000-0000-0000-0000-000000310103,00000000-0000-0000-0000-000000001001,stop,00000000-0000-0000-0000-000000210102,stop,00000000-0000-0000-0000-000000210103,3,6.9751211,79.9326145,6.9837418,79.9760166,6.148,5,70.00,highway,0.75,49,poly_r01_s03,2026-01-01T00:00:00Z,2026-05-03T00:00:00Z
00000000-0000-0000-0000-000000310104,00000000-0000-0000-0000-000000001001,stop,00000000-0000-0000-0000-000000210103,stop,00000000-0000-0000-0000-000000210104,4,6.9837418,79.9760166,6.9912266,80.0199867,6.496,8,46.00,mixed,1.15,50,poly_r01_s04,2026-01-01T00:00:00Z,2026-05-03T00:00:00Z
00000000-0000-0000-0000-000000310105,00000000-0000-0000-0000-000000001001,stop,00000000-0000-0000-0000-000000210104,lounge,00000000-0000-0000-0000-000000410105,5,6.9912266,80.0199867,7.0033120,80.0616565,5.104,10,30.00,urban,1.45,46,poly_r01_s05,2026-01-01T00:00:00Z,2026-05-03T00:00:00Z
00000000-0000-0000-0000-000000310106,00000000-0000-0000-0000-000000001001,lounge,00000000-0000-0000-0000-000000410105,stop,00000000-0000-0000-0000-000000210106,6,7.0033120,80.0616565,7.0232660,80.0993920,5.452,8,40.00,mixed,1.15,38,poly_r01_s06,2026-01-01T00:00:00Z,2026-05-03T00:00:00Z
00000000-0000-0000-0000-000000310107,00000000-0000-0000-0000-000000001001,stop,00000000-0000-0000-0000-000000210106,stop,00000000-0000-0000-0000-000000210107,7,7.0232660,80.0993920,7.0501338,80.1336706,5.800,6,54.00,rural,0.95,27,poly_r01_s07,2026-01-01T00:00:00Z,2026-05-03T00:00:00Z
00000000-0000-0000-0000-000000310108,00000000-0000-0000-0000-000000001001,stop,00000000-0000-0000-0000-000000210107,stop,00000000-0000-0000-0000-000000210108,8,7.0501338,80.1336706,7.0792507,80.1668247,6.148,6,58.00,highway,0.75,14,poly_r01_s08,2026-01-01T00:00:00Z,2026-05-03T00:00:00Z
00000000-0000-0000-0000-000000310109,00000000-0000-0000-0000-000000001001,stop,00000000-0000-0000-0000-000000210108,stop,00000000-0000-0000-0000-000000210109,9,7.0792507,80.1668247,7.1047450,80.2017900,6.496,8,46.00,mixed,1.15,0,poly_r01_s09,2026-01-01T00:00:00Z,2026-05-03T00:00:00Z
00000000-0000-0000-0000-000000310110,00000000-0000-0000-0000-000000001001,stop,00000000-0000-0000-0000-000000210109,lounge,00000000-0000-0000-0000-000000410110,10,7.1047450,80.2017900,7.1226891,80.2405305,5.104,10,32.00,urban,1.45,-13,poly_r01_s10,2026-01-01T00:00:00Z,2026-05-03T00:00:00Z
