id,route_segment_id,time_of_day_category,day_of_week,weather_condition,avg_duration_minutes,median_duration_minutes,stddev_duration_minutes,min_duration_minutes,max_duration_minutes,p95_duration_minutes,avg_speed_kmh,sample_count,last_trip_date,avg_data_quality,last_calculated_at,calculation_window_days
00000000-0000-0000-0000-000001110001,00000000-0000-0000-0000-000000310101,morning_peak,tuesday,rain,10.26,10.01,0.92,8.79,12.28,11.82,31.88,25,2026-05-02,0.83,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001110002,00000000-0000-0000-0000-000000310102,midday,wednesday,heavy_rain,12.85,12.35,1.29,10.79,15.69,15.04,27.08,32,2026-05-01,0.84,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001110003,00000000-0000-0000-0000-000000310103,evening_peak,thursday,fog,7.69,7.69,0.85,6.33,9.56,9.13,47.97,39,2026-04-30,0.85,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001110004,00000000-0000-0000-0000-000000310104,night,friday,clear,7.52,7.27,0.90,6.08,9.50,9.05,51.83,46,2026-04-29,0.86,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001110005,00000000-0000-0000-0000-000000310105,early_morning,saturday,rain,11.88,11.38,0.95,10.36,13.97,13.50,25.78,53,2026-04-28,0.87,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001110006,00000000-0000-0000-0000-000000310106,morning_peak,sunday,heavy_rain,15.86,15.86,1.43,13.57,19.01,18.29,20.63,60,2026-04-27,0.88,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001110007,00000000-0000-0000-0000-000000310107,midday,monday,fog,7.39,7.14,0.80,6.11,9.15,8.75,47.09,67,2026-04-26,0.89,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001110008,00000000-0000-0000-0000-000000310108,evening_peak,tuesday,clear,7.00,6.50,0.80,5.72,8.76,8.36,52.70,74,2026-04-25,0.90,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001110009,00000000-0000-0000-0000-000000310109,night,wednesday,rain,9.50,9.50,1.14,7.68,12.01,11.44,41.03,81,2026-04-24,0.91,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001110010,00000000-0000-0000-0000-000000310110,early_morning,thursday,heavy_rain,18.35,18.10,1.47,16.00,21.58,20.85,16.69,88,2026-04-23,0.92,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001110011,00000000-0000-0000-0000-000000310111,morning_peak,friday,fog,10.64,10.14,0.96,9.10,12.75,12.27,30.74,95,2026-04-22,0.93,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001110012,00000000-0000-0000-0000-000000310112,midday,saturday,clear,7.52,7.52,0.80,6.24,9.28,8.88,46.28,102,2026-04-21,0.94,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001110013,00000000-0000-0000-0000-000000310113,evening_peak,sunday,rain,7.70,7.45,0.85,6.34,9.57,9.14,47.91,109,2026-04-20,0.95,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001110014,00000000-0000-0000-0000-000000310114,night,monday,heavy_rain,14.68,14.18,1.76,11.86,18.55,17.67,26.55,20,2026-04-19,0.96,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001110015,00000000-0000-0000-0000-000000310115,early_morning,tuesday,fog,11.08,11.08,0.89,9.66,13.04,12.59,27.64,27,2026-04-18,0.82,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001110016,00000000-0000-0000-0000-000000310116,morning_peak,wednesday,clear,9.33,9.08,0.84,7.99,11.18,10.76,35.06,34,2026-04-17,0.83,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001110017,00000000-0000-0000-0000-000000310117,midday,thursday,rain,8.32,7.82,0.83,6.99,10.15,9.73,41.83,41,2026-04-16,0.84,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001110018,00000000-0000-0000-0000-000000310118,evening_peak,friday,heavy_rain,11.89,11.89,1.31,9.79,14.77,14.12,31.02,48,2026-04-15,0.85,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001110019,00000000-0000-0000-0000-000000310119,night,saturday,fog,9.85,9.60,1.18,7.96,12.45,11.86,39.57,55,2026-04-14,0.86,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001110020,00000000-0000-0000-0000-000000310120,early_morning,sunday,clear,10.34,9.84,0.83,9.01,12.17,11.75,29.62,62,2026-04-13,0.87,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001110021,00000000-0000-0000-0000-000000310201,morning_peak,monday,rain,11.88,11.88,1.07,10.17,14.23,13.70,27.54,69,2026-05-03,0.88,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001110022,00000000-0000-0000-0000-000000310202,midday,tuesday,heavy_rain,12.85,12.60,1.29,10.79,15.69,15.04,27.08,76,2026-05-02,0.89,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001110023,00000000-0000-0000-0000-000000310203,evening_peak,wednesday,fog,6.65,6.15,0.80,5.37,8.41,8.01,55.47,83,2026-05-01,0.90,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001110024,00000000-0000-0000-0000-000000310204,night,thursday,clear,7.52,7.52,0.90,6.08,9.50,9.05,51.83,90,2026-04-30,0.91,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001110025,00000000-0000-0000-0000-000000310205,early_morning,friday,rain,11.88,11.63,0.95,10.36,13.97,13.50,25.78,97,2026-04-29,0.92,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001110026,00000000-0000-0000-0000-000000310206,morning_peak,saturday,heavy_rain,15.86,15.36,1.43,13.57,19.01,18.29,20.63,104,2026-04-28,0.93,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001110027,00000000-0000-0000-0000-000000310207,midday,sunday,fog,7.39,7.39,0.80,6.11,9.15,8.75,47.09,111,2026-04-27,0.94,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001110028,00000000-0000-0000-0000-000000310208,evening_peak,monday,clear,7.00,6.75,0.80,5.72,8.76,8.36,52.70,22,2026-04-26,0.95,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001110029,00000000-0000-0000-0000-000000310209,night,tuesday,rain,9.50,9.00,1.14,7.68,12.01,11.44,41.03,29,2026-04-25,0.96,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001110030,00000000-0000-0000-0000-000000310210,early_morning,wednesday,heavy_rain,18.35,18.35,1.47,16.00,21.58,20.85,16.69,36,2026-04-24,0.82,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001110031,00000000-0000-0000-0000-000000310211,morning_peak,thursday,fog,10.64,10.39,0.96,9.10,12.75,12.27,30.74,43,2026-04-23,0.83,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001110032,00000000-0000-0000-0000-000000310212,midday,friday,clear,7.52,7.02,0.80,6.24,9.28,8.88,46.28,50,2026-04-22,0.84,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001110033,00000000-0000-0000-0000-000000310213,evening_peak,saturday,rain,8.91,8.91,0.98,7.34,11.07,10.58,41.40,57,2026-04-21,0.85,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001110034,00000000-0000-0000-0000-000000310214,night,sunday,heavy_rain,14.68,14.43,1.76,11.86,18.55,17.67,26.55,64,2026-04-20,0.86,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001110035,00000000-0000-0000-0000-000000310215,early_morning,monday,fog,11.08,10.58,0.89,9.66,13.04,12.59,27.64,71,2026-04-19,0.87,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001110036,00000000-0000-0000-0000-000000310216,morning_peak,tuesday,clear,10.80,10.80,0.97,9.25,12.93,12.45,30.29,78,2026-04-18,0.88,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001110037,00000000-0000-0000-0000-000000310217,midday,wednesday,rain,8.32,8.07,0.83,6.99,10.15,9.73,41.83,85,2026-04-17,0.89,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001110038,00000000-0000-0000-0000-000000310218,evening_peak,thursday,heavy_rain,11.89,11.39,1.31,9.79,14.77,14.12,31.02,92,2026-04-16,0.90,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001110039,00000000-0000-0000-0000-000000310219,night,friday,fog,9.85,9.85,1.18,7.96,12.45,11.86,39.57,99,2026-04-15,0.91,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001110040,00000000-0000-0000-0000-000000310220,early_morning,saturday,clear,10.34,10.09,0.83,9.01,12.17,11.75,29.62,106,2026-04-14,0.92,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001110041,00000000-0000-0000-0000-000000310301,morning_peak,sunday,rain,11.55,11.05,1.04,9.89,13.84,13.32,30.76,113,2026-04-13,0.93,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001110042,00000000-0000-0000-0000-000000310302,midday,monday,heavy_rain,12.85,12.85,1.29,10.79,15.69,15.04,29.42,24,2026-05-03,0.94,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001110043,00000000-0000-0000-0000-000000310303,evening_peak,tuesday,fog,7.98,7.73,0.88,6.57,9.92,9.48,50.21,31,2026-05-02,0.95,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001110044,00000000-0000-0000-0000-000000310304,night,wednesday,clear,8.46,7.96,1.02,6.83,10.70,10.19,50.04,38,2026-05-01,0.96,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001110045,00000000-0000-0000-0000-000000310305,early_morning,thursday,rain,13.07,13.07,1.05,11.39,15.38,14.86,25.45,45,2026-04-30,0.82,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001110046,00000000-0000-0000-0000-000000310306,morning_peak,friday,heavy_rain,17.84,17.59,1.61,15.26,21.38,20.58,19.92,52,2026-04-29,0.83,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001110047,00000000-0000-0000-0000-000000310307,midday,saturday,fog,8.62,8.12,0.86,7.24,10.51,10.08,43.85,59,2026-04-28,0.84,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001110048,00000000-0000-0000-0000-000000310308,evening_peak,sunday,clear,9.45,9.45,1.04,7.79,11.74,11.22,42.40,66,2026-04-27,0.85,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001110049,00000000-0000-0000-0000-000000310309,night,monday,rain,10.69,10.44,1.28,8.64,13.51,12.87,39.60,73,2026-04-26,0.86,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001110050,00000000-0000-0000-0000-000000310310,early_morning,tuesday,heavy_rain,18.35,17.85,1.47,16.00,21.58,20.85,18.13,80,2026-04-25,0.87,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001110051,00000000-0000-0000-0000-000000310311,morning_peak,wednesday,fog,13.85,13.85,1.25,11.85,16.60,15.97,25.65,87,2026-04-24,0.88,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001110052,00000000-0000-0000-0000-000000310312,midday,thursday,clear,7.52,7.27,0.80,6.24,9.28,8.88,50.27,94,2026-04-23,0.89,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001110053,00000000-0000-0000-0000-000000310313,evening_peak,friday,rain,7.70,7.20,0.85,6.34,9.57,9.14,52.04,101,2026-04-22,0.90,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001110054,00000000-0000-0000-0000-000000310314,night,saturday,heavy_rain,16.52,16.52,1.98,13.35,20.88,19.89,25.63,108,2026-04-21,0.91,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001110055,00000000-0000-0000-0000-000000310315,early_morning,sunday,fog,12.31,12.06,0.98,10.74,14.47,13.98,27.02,19,2026-04-20,0.92,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001110056,00000000-0000-0000-0000-000000310316,morning_peak,monday,clear,10.50,10.00,0.94,9.00,12.57,12.10,33.84,26,2026-04-19,0.93,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001110057,00000000-0000-0000-0000-000000310317,midday,tuesday,rain,9.50,9.50,0.95,7.98,11.59,11.12,39.79,33,2026-04-18,0.94,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001110058,00000000-0000-0000-0000-000000310318,evening_peak,wednesday,heavy_rain,11.89,11.64,1.31,9.79,14.77,14.12,33.70,40,2026-04-17,0.95,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001110059,00000000-0000-0000-0000-000000310319,night,thursday,fog,11.08,10.58,1.33,8.95,14.01,13.34,38.21,47,2026-04-16,0.96,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001110060,00000000-0000-0000-0000-000000310320,early_morning,friday,clear,11.28,11.28,0.90,9.84,13.26,12.81,29.49,54,2026-04-15,0.82,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001110061,00000000-0000-0000-0000-000000310401,morning_peak,saturday,rain,35.93,35.68,3.23,30.76,43.04,41.42,31.00,61,2026-04-14,0.83,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001110062,00000000-0000-0000-0000-000000310402,midday,sunday,heavy_rain,42.21,41.71,4.22,35.46,51.49,49.38,28.07,68,2026-04-13,0.84,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001110063,00000000-0000-0000-0000-000000310403,evening_peak,monday,fog,27.70,27.70,3.05,22.82,34.41,32.88,45.35,75,2026-05-03,0.85,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001110064,00000000-0000-0000-0000-000000310404,night,tuesday,clear,27.26,27.01,3.27,22.03,34.45,32.82,48.69,82,2026-05-02,0.86,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001110065,00000000-0000-0000-0000-000000310405,early_morning,wednesday,rain,41.58,41.08,3.33,36.25,48.91,47.24,25.08,89,2026-05-01,0.87,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001110066,00000000-0000-0000-0000-000000310406,morning_peak,thursday,heavy_rain,55.50,55.50,5.00,47.50,66.50,64.00,20.07,96,2026-04-30,0.88,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001110067,00000000-0000-0000-0000-000000310407,midday,friday,fog,27.09,26.84,2.71,22.75,33.05,31.70,43.74,103,2026-04-29,0.89,2026-05-04T02:00:00Z,90
00000000-0000-0000-0000-000001110068,00000000-0000-0000-0000-000000310408,evening_peak,saturday,clear,25.66,25.16,2.82,21.15,31.86,30.45,48.95,110,2026-04-28,0.90,2026-05-04T02:00:00Z,90
