id,route_segment_id,active_trip_id,scheduled_trip_id,bus_id,driver_id,trip_date,segment_start_time,segment_end_time,actual_duration_minutes,estimated_duration_minutes,average_speed_kmh,max_speed_kmh,min_speed_kmh,stop_count,dwell_time_seconds,time_of_day_category,day_of_week,is_holiday,weather_condition,bus_type,bus_occupancy_percentage,driver_experience_years,created_at
00000000-0000-0000-0000-000001610001,00000000-0000-0000-0000-000000310101,00000000-0000-0000-0000-000000610001,00000000-0000-0000-0000-000000710001,00000000-0000-0000-0000-000000910003,00000000-0000-0000-0000-000000810001,2026-01-20,2026-01-20T05:17:00Z,2026-01-20T05:23:13.800Z,6.23,8.00,52.51,67.51,35.51,1,31,early_morning,tuesday,false,clear,Express,48,4,2026-01-20T05:23:18.800Z
00000000-0000-0000-0000-000001610002,00000000-0000-0000-0000-000000310202,00000000-0000-0000-0000-000000610002,00000000-0000-0000-0000-000000710002,00000000-0000-0000-0000-000000910006,00000000-0000-0000-0000-000000810002,2026-01-21,2026-01-21T06:48:00Z,2026-01-21T06:55:19.800Z,7.33,7.00,47.48,63.48,29.48,2,42,morning_peak,wednesday,false,clear,Semi Luxury,62,7,2026-01-21T06:55:24.800Z
00000000-0000-0000-0000-000001610003,00000000-0000-0000-0000-000000310303,00000000-0000-0000-0000-000000610003,00000000-0000-0000-0000-000000710003,00000000-0000-0000-0000-000000910009,00000000-0000-0000-0000-000000810003,2026-01-22,2026-01-22T08:37:00Z,2026-01-22T08:44:52.800Z,7.88,6.00,50.85,67.85,31.85,3,53,morning_peak,thursday,false,clear,Intercity,75,10,2026-01-22T08:44:57.800Z
00000000-0000-0000-0000-000001610004,00000000-0000-0000-0000-000000310404,00000000-0000-0000-0000-000000610004,00000000-0000-0000-0000-000000710004,00000000-0000-0000-0000-000000910012,00000000-0000-0000-0000-000000810004,2026-01-23,2026-01-23T11:05:00Z,2026-01-23T11:32:55.200Z,27.92,29.00,47.54,65.54,27.54,4,64,midday,friday,false,clear,AC Luxury,88,13,2026-01-23T11:33:00.200Z
00000000-0000-0000-0000-000001610005,00000000-0000-0000-0000-000000310505,00000000-0000-0000-0000-000000610005,00000000-0000-0000-0000-000000710005,00000000-0000-0000-0000-000000910015,00000000-0000-0000-0000-000000810005,2026-01-24,2026-01-24T13:36:00Z,2026-01-24T14:03:30.600Z,27.51,22.00,23.51,42.51,3.00,0,485,midday,saturday,false,rain,Normal,35,16,2026-01-24T14:03:35.600Z
00000000-0000-0000-0000-000001610006,00000000-0000-0000-0000-000000310106,00000000-0000-0000-0000-000000610006,00000000-0000-0000-0000-000000710006,00000000-0000-0000-0000-000000910018,00000000-0000-0000-0000-000000810006,2026-01-25,2026-01-25T15:12:00Z,2026-01-25T15:20:48Z,8.80,8.00,37.17,57.17,21.17,1,522,midday,sunday,false,clear,Express,48,19,2026-01-25T15:20:53Z
00000000-0000-0000-0000-000001610007,00000000-0000-0000-0000-000000310207,00000000-0000-0000-0000-000000610007,00000000-0000-0000-0000-000000710007,00000000-0000-0000-0000-000000910021,00000000-0000-0000-0000-000000810007,2026-01-26,2026-01-26T17:48:00Z,2026-01-26T17:56:44.400Z,8.74,6.00,39.82,60.82,22.82,2,97,evening_peak,monday,false,clear,Semi Luxury,62,22,2026-01-26T17:56:49.400Z
00000000-0000-0000-0000-000001610008,00000000-0000-0000-0000-000000310308,00000000-0000-0000-0000-000000610008,00000000-0000-0000-0000-000000710008,00000000-0000-0000-0000-000000910024,00000000-0000-0000-0000-000000810008,2026-01-27,2026-01-27T19:29:00Z,2026-01-27T19:39:49.800Z,10.83,7.00,37.00,59.00,19.00,3,108,evening_peak,tuesday,false,clear,Intercity,75,1,2026-01-27T19:39:54.800Z
00000000-0000-0000-0000-000001610009,00000000-0000-0000-0000-000000310409,00000000-0000-0000-0000-000000610009,00000000-0000-0000-0000-000000710009,00000000-0000-0000-0000-000000910027,00000000-0000-0000-0000-000000810009,2026-01-28,2026-01-28T22:10:00Z,2026-01-28T22:36:55.200Z,26.92,29.00,49.30,63.30,30.30,4,119,night,wednesday,false,clear,AC Luxury,88,4,2026-01-28T22:37:00.200Z
00000000-0000-0000-0000-000001610010,00000000-0000-0000-0000-000000310510,00000000-0000-0000-0000-000000610010,00000000-0000-0000-0000-000000710010,00000000-0000-0000-0000-000000910030,00000000-0000-0000-0000-000000810010,2026-01-29,2026-01-30T00:36:00Z,2026-01-30T00:59:21.600Z,23.36,20.00,27.69,42.69,7.69,0,670,night,thursday,false,rain,Normal,35,7,2026-01-30T00:59:26.600Z
00000000-0000-0000-0000-000001610011,00000000-0000-0000-0000-000000310111,00000000-0000-0000-0000-000000610011,00000000-0000-0000-0000-000000710011,00000000-0000-0000-0000-000000910033,00000000-0000-0000-0000-000000810011,2026-01-30,2026-01-30T07:37:00Z,2026-01-30T07:43:53.400Z,6.89,8.00,47.48,63.48,26.48,1,707,early_morning,friday,false,clear,Express,48,10,2026-01-30T07:43:58.400Z
00000000-0000-0000-0000-000001610012,00000000-0000-0000-0000-000000310212,00000000-0000-0000-0000-000000610012,00000000-0000-0000-0000-000000710012,00000000-0000-0000-0000-000000910036,00000000-0000-0000-0000-000000810012,2026-01-31,2026-01-31T09:08:00Z,2026-01-31T09:18:44.400Z,10.74,8.00,32.40,49.40,16.40,2,152,morning_peak,saturday,false,clear,Semi Luxury,62,13,2026-01-31T09:18:49.400Z
