id,route_segment_id,trip_context_id,segment_start_time,segment_end_time,actual_duration_minutes,average_speed_kmh,duration_variance_minutes,traffic_level,actual_distance_km,gps_accuracy_meters,data_quality_score,recorded_at
00000000-0000-0000-0000-000001010001,00000000-0000-0000-0000-000000310101,00000000-0000-0000-0000-000000510001,2026-01-20T05:17:00Z,2026-01-20T05:23:13.800Z,6.23,52.51,-1.77,light,5.412,7,0.90,2026-01-20T05:23:18.800Z
00000000-0000-0000-0000-000001010002,00000000-0000-0000-0000-000000310202,00000000-0000-0000-0000-000000510002,2026-01-21T06:48:00Z,2026-01-21T06:55:19.800Z,7.33,47.48,0.33,moderate,5.800,8,0.84,2026-01-21T06:55:24.800Z
00000000-0000-0000-0000-000001010003,00000000-0000-0000-0000-000000310303,00000000-0000-0000-0000-000000510003,2026-01-22T08:37:00Z,2026-01-22T08:44:52.800Z,7.88,50.85,1.88,heavy,6.718,9,0.85,2026-01-22T08:44:57.800Z
00000000-0000-0000-0000-000001010004,00000000-0000-0000-0000-000000310404,00000000-0000-0000-0000-000000510004,2026-01-23T11:05:00Z,2026-01-23T11:32:55.200Z,27.92,47.54,-1.08,light,22.200,10,0.79,2026-01-23T11:33:00.200Z
00000000-0000-0000-0000-000001010005,00000000-0000-0000-0000-000000310505,00000000-0000-0000-0000-000000510005,2026-01-24T13:36:00Z,2026-01-24T14:03:30.600Z,27.51,23.51,5.51,moderate,10.700,11,0.72,2026-01-24T14:03:35.600Z
00000000-0000-0000-0000-000001010006,00000000-0000-0000-0000-000000310106,00000000-0000-0000-0000-000000510006,2026-01-25T15:12:00Z,2026-01-25T15:20:48Z,8.80,37.17,0.80,light,5.412,12,0.72,2026-01-25T15:20:53Z
00000000-0000-0000-0000-000001010007,00000000-0000-0000-0000-000000310207,00000000-0000-0000-0000-000000510007,2026-01-26T17:48:00Z,2026-01-26T17:56:44.400Z,8.74,39.82,2.74,moderate,5.800,13,0.72,2026-01-26T17:56:49.400Z
00000000-0000-0000-0000-000001010008,00000000-0000-0000-0000-000000310308,00000000-0000-0000-0000-000000510008,2026-01-27T19:29:00Z,2026-01-27T19:39:49.800Z,10.83,37.00,3.83,moderate,6.718,14,0.95,2026-01-27T19:39:54.800Z
00000000-0000-0000-0000-000001010009,00000000-0000-0000-0000-000000310409,00000000-0000-0000-0000-000000510009,2026-01-28T22:10:00Z,2026-01-28T22:36:55.200Z,26.92,49.30,-2.08,light,22.200,15,0.88,2026-01-28T22:37:00.200Z
00000000-0000-0000-0000-000001010010,00000000-0000-0000-0000-000000310510,00000000-0000-0000-0000-000000510010,2026-01-30T00:36:00Z,2026-01-30T00:59:21.600Z,23.36,27.69,3.36,moderate,10.700,16,0.79,2026-01-30T00:59:26.600Z
00000000-0000-0000-0000-000001010011,00000000-0000-0000-0000-000000310111,00000000-0000-0000-0000-000000510011,2026-01-30T07:37:00Z,2026-01-30T07:43:53.400Z,6.89,47.48,-1.11,light,5.412,17,0.82,2026-01-30T07:43:58.400Z
00000000-0000-0000-0000-000001010012,00000000-0000-0000-0000-000000310212,00000000-0000-0000-0000-000000510012,2026-01-31T09:08:00Z,2026-01-31T09:18:44.400Z,10.74,32.40,2.74,heavy,5.800,18,0.75,2026-01-31T09:18:49.400Z
00000000-0000-0000-0000-000001010013,00000000-0000-0000-0000-000000310313,00000000-0000-0000-0000-000000510013,2026-02-01T10:57:00Z,2026-02-01T11:05:23.400Z,8.39,47.76,2.39,moderate,6.718,19,0.72,2026-02-01T11:05:28.400Z
00000000-0000-0000-0000-000001010014,00000000-0000-0000-0000-000000310414,00000000-0000-0000-0000-000000510014,2026-02-02T13:25:00Z,2026-02-02T13:56:51Z,31.85,41.67,2.85,moderate,22.200,20,0.72,2026-02-02T13:56:56Z
00000000-0000-0000-0000-000001010015,00000000-0000-0000-0000-000000310515,00000000-0000-0000-0000-000000510015,2026-02-03T15:56:00Z,2026-02-03T16:17:51.600Z,21.86,29.59,2.86,moderate,10.700,21,0.88,2026-02-03T16:17:56.600Z
