id,active_trip_id,scheduled_trip_id,trip_date,driver_id,driver_experience_years,driver_rating,bus_id,bus_type,has_ac,bus_age_years,departure_time,time_of_day_category,day_of_week,is_weekend,is_holiday,weather_condition,temperature_celsius,total_passengers,route_id,created_at
00000000-0000-0000-0000-000000510001,00000000-0000-0000-0000-000000610001,00000000-0000-0000-0000-000000710001,2026-01-20,00000000-0000-0000-0000-000000810001,4,3.87,00000000-0000-0000-0000-000000910003,Express,true,3.10,05:15:00,early_morning,tuesday,false,false,clear,29,25,00000000-0000-0000-0000-000000001001,2026-01-20T05:15:00Z
00000000-0000-0000-0000-000000510002,00000000-0000-0000-0000-000000610002,00000000-0000-0000-0000-000000710002,2026-01-21,00000000-0000-0000-0000-000000810002,7,4.04,00000000-0000-0000-0000-000000910006,Semi Luxury,false,5.20,06:30:00,morning_peak,wednesday,false,false,clear,30,32,00000000-0000-0000-0000-000000001002,2026-01-21T06:30:00Z
00000000-0000-0000-0000-000000510003,00000000-0000-0000-0000-000000610003,00000000-0000-0000-0000-000000710003,2026-01-22,00000000-0000-0000-0000-000000810003,10,4.22,00000000-0000-0000-0000-000000910009,Intercity,false,7.30,08:03:00,morning_peak,thursday,false,false,clear,31,39,00000000-0000-0000-0000-000000001003,2026-01-22T08:03:00Z
00000000-0000-0000-0000-000000510004,00000000-0000-0000-0000-000000610004,00000000-0000-0000-0000-000000710004,2026-01-23,00000000-0000-0000-0000-000000810004,13,4.39,00000000-0000-0000-0000-000000910012,AC Luxury,true,9.40,10:15:00,midday,friday,false,false,clear,32,46,00000000-0000-0000-0000-000000001004,2026-01-23T10:15:00Z
00000000-0000-0000-0000-000000510005,00000000-0000-0000-0000-000000610005,00000000-0000-0000-0000-000000710005,2026-01-24,00000000-0000-0000-0000-000000810005,16,4.37,00000000-0000-0000-0000-000000910015,Normal,false,11.50,12:40:00,midday,saturday,true,false,rain,33,18,00000000-0000-0000-0000-000000001005,2026-01-24T12:40:00Z
00000000-0000-0000-0000-000000510006,00000000-0000-0000-0000-000000610006,00000000-0000-0000-0000-000000710006,2026-01-25,00000000-0000-0000-0000-000000810006,19,4.54,00000000-0000-0000-0000-000000910018,Express,true,13.60,14:00:00,midday,sunday,true,false,clear,34,25,00000000-0000-0000-0000-000000001001,2026-01-25T14:00:00Z
00000000-0000-0000-0000-000000510007,00000000-0000-0000-0000-000000610007,00000000-0000-0000-0000-000000710007,2026-01-26,00000000-0000-0000-0000-000000810007,22,4.72,00000000-0000-0000-0000-000000910021,Semi Luxury,false,15.70,16:20:00,evening_peak,monday,false,false,clear,28,32,00000000-0000-0000-0000-000000001002,2026-01-26T16:20:00Z
00000000-0000-0000-0000-000000510008,00000000-0000-0000-0000-000000610008,00000000-0000-0000-0000-000000710008,2026-01-27,00000000-0000-0000-0000-000000810008,1,3.81,00000000-0000-0000-0000-000000910024,Intercity,false,2.80,17:45:00,evening_peak,tuesday,false,false,clear,29,39,00000000-0000-0000-0000-000000001003,2026-01-27T17:45:00Z
00000000-0000-0000-0000-000000510009,00000000-0000-0000-0000-000000610009,00000000-0000-0000-0000-000000710009,2026-01-28,00000000-0000-0000-0000-000000810009,4,3.99,00000000-0000-0000-0000-000000910027,AC Luxury,true,4.90,20:10:00,night,wednesday,false,false,clear,30,46,00000000-0000-0000-0000-000000001004,2026-01-28T20:10:00Z
00000000-0000-0000-0000-000000510010,00000000-0000-0000-0000-000000610010,00000000-0000-0000-0000-000000710010,2026-01-29,00000000-0000-0000-0000-000000810010,7,3.96,00000000-0000-0000-0000-000000910030,Normal,false,7.00,22:30:00,night,thursday,false,false,rain,31,18,00000000-0000-0000-0000-000000001005,2026-01-29T22:30:00Z
