id,lounge_id,master_route_id,average_dwell_time_minutes,min_dwell_time_minutes,max_dwell_time_minutes,peak_hour_dwell_time_minutes,off_peak_dwell_time_minutes,total_stops_recorded,last_calculated_at,created_at,updated_at
04cdc4e8-7225-439d-86f9-03cf40271514,bf3c4c06-4343-48bc-89fa-6a688fb5d27b,c241330b-01a9-471f-9e8a-774bcf36d58b,12.03,2.11,15.97,12.79,11.64,519,2026-07-16 00:00:00.000000+00,2026-05-13 00:00:00.000000+00,2026-07-16 00:00:00.000000+00
f09e0302-b525-44d9-83f0-23fd00f2baa4,beb79919-3f22-4af8-a3be-d01d43cf2fde,6c307511-b2b9-437a-a8df-6ec4ce4a2bbd,11.49,2.1,16.23,12.66,10.35,512,2026-07-06 00:00:00.000000+00,2026-04-20 00:00:00.000000+00,2026-07-06 00:00:00.000000+00
1f0733df-7b68-4323-87a2-ee6fd166eb08,dc713d96-0c0f-4195-817a-f08a1745d6d8,b74d0fb1-32e7-4629-8fad-c1a606cb0fb3,10.82,1.51,12.97,11.5,10.25,590,2026-07-14 00:00:00.000000+00,2026-04-19 00:00:00.000000+00,2026-07-14 00:00:00.000000+00
d757ad38-1498-40dd-970e-5af5f5ff3705,ff50bde4-3825-47b8-9cab-cc97663f1c97,9a1de644-815e-46d1-bb8f-aa1837f8a88b,6.76,2.2,9.41,9.66,6.35,480,2026-07-24 00:00:00.000000+00,2026-05-08 00:00:00.000000+00,2026-07-24 00:00:00.000000+00
5bf88967-b057-4cd4-a170-1e8e1b552618,956269f0-e5d7-4875-adad-d6c795a76d79,6c307511-b2b9-437a-a8df-6ec4ce4a2bbd,9.92,1.01,10.22,12.07,9.26,508,2026-07-27 00:00:00.000000+00,2026-04-19 00:00:00.000000+00,2026-07-27 00:00:00.000000+00
caf0f442-1020-48e6-a386-44e07d3e5830,24933b83-7577-40a9-a491-f0b2ea1fca65,43b7a3a6-9a8d-4a03-980d-7b71d8f56413,3.7,2.08,13.64,4.68,2.54,563,2026-06-15 00:00:00.000000+00,2026-05-15 00:00:00.000000+00,2026-06-15 00:00:00.000000+00
67cf5ce0-0af5-44a9-b894-3df8c9abda91,956269f0-e5d7-4875-adad-d6c795a76d79,6b65a6a4-8b81-48f6-b38a-088ca65ed389,7.6,1.83,14.68,10.59,7.26,131,2026-06-21 00:00:00.000000+00,2026-03-08 00:00:00.000000+00,2026-06-21 00:00:00.000000+00
bc4716ad-0970-409d-9270-c935ecc0baa6,bf3c4c06-4343-48bc-89fa-6a688fb5d27b,1a2a73ed-562b-4f79-8374-59eef50bea63,10.4,2.13,10.93,13.08,9.46,154,2026-06-14 00:00:00.000000+00,2026-05-14 00:00:00.000000+00,2026-06-14 00:00:00.000000+00
4eada8d3-e797-43ae-8cca-0c05a1f619ed,dc713d96-0c0f-4195-817a-f08a1745d6d8,6c307511-b2b9-437a-a8df-6ec4ce4a2bbd,9.08,0.55,14.34,10.19,8.0,109,2026-06-11 00:00:00.000000+00,2026-03-02 00:00:00.000000+00,2026-06-11 00:00:00.000000+00
6d1c31d6-33e0-4a38-8df0-aaba1027fbf7,dc713d96-0c0f-4195-817a-f08a1745d6d8,c241330b-01a9-471f-9e8a-774bcf36d58b,8.85,0.93,10.61,9.62,7.95,355,2026-06-14 00:00:00.000000+00,2026-05-18 00:00:00.000000+00,2026-06-14 00:00:00.000000+00
55e39295-2c67-40bd-97d4-6f610bab8f53,7e570ddf-8270-40a8-a369-b584ff5e9ff0,9a1de644-815e-46d1-bb8f-aa1837f8a88b,6.74,0.8,11.69,8.04,5.28,74,2026-07-18 00:00:00.000000+00,2026-03-28 00:00:00.000000+00,2026-07-18 00:00:00.000000+00
d8ed0649-ca82-4730-9997-7e2e22249813,24933b83-7577-40a9-a491-f0b2ea1fca65,17fc695a-07a0-4a6e-8822-e8f36c031199,6.0,0.85,8.25,7.88,5.17,395,2026-06-02 00:00:00.000000+00,2026-05-14 00:00:00.000000+00,2026-06-02 00:00:00.000000+00
ceb28a32-b189-427f-aa8d-8a7048a2a172,beb79919-3f22-4af8-a3be-d01d43cf2fde,bdd640fb-0667-4ad1-9c80-317fa3b1799d,2.72,2.7,5.75,5.54,1.57,497,2026-07-26 00:00:00.000000+00,2026-05-15 00:00:00.000000+00,2026-07-26 00:00:00.000000+00
7ff8a2c6-b79a-466b-ae14-82be98a547b2,beb79919-3f22-4af8-a3be-d01d43cf2fde,972a8469-1641-4f82-8b9d-2434e465e150,3.35,0.86,6.38,4.45,2.84,100,2026-06-02 00:00:00.000000+00,2026-05-28 00:00:00.000000+00,2026-06-02 00:00:00.000000+00
8a2b466e-fc9d-40d0-82d9-4cc9dcdbf14e,956269f0-e5d7-4875-adad-d6c795a76d79,9a1de644-815e-46d1-bb8f-aa1837f8a88b,3.33,1.55,10.8,6.3,1.86,529,2026-06-23 00:00:00.000000+00,2026-05-19 00:00:00.000000+00,2026-06-23 00:00:00.000000+00
